date,revenue,orders,marketing_spend,website_traffic,conversion_rate,avg_order_value,month,month_name,day_of_week,week
2025-02-26,57201.07,708,9993.05,16623,4.26,80.79,2,February,Wednesday,9
2025-02-27,60725.34,709,10087.62,17405,4.07,85.65,2,February,Thursday,9
2025-02-28,62702.37,757,9981.11,18263,4.14,82.83,2,February,Friday,9
2025-03-01,62482.6,747,9168.13,19496,3.83,83.64,3,March,Saturday,9
2025-03-02,57082.64,698,9781.42,17954,3.89,81.78,3,March,Sunday,9
2025-03-03,56157.29,641,9596.43,15680,4.09,87.61,3,March,Monday,10
2025-03-04,55003.91,660,9536.1,17626,3.74,83.34,3,March,Tuesday,10
2025-03-05,57276.28,695,8943.73,17865,3.89,82.41,3,March,Wednesday,10
2025-03-06,63743.76,714,9558.97,17687,4.04,89.28,3,March,Thursday,10
2025-03-07,65512.88,747,10767.61,17425,4.29,87.7,3,March,Friday,10
2025-03-08,61133.52,678,9870.9,18095,3.75,90.17,3,March,Saturday,10
2025-03-09,60779.43,709,10203.1,17030,4.16,85.73,3,March,Sunday,10
2025-03-10,57968.46,696,9651.64,16577,4.2,83.29,3,March,Monday,11
2025-03-11,56628.01,696,9545.12,17911,3.89,81.36,3,March,Tuesday,11
2025-03-12,61078.1,720,10355.39,19219,3.75,84.83,3,March,Wednesday,11
2025-03-13,65866.24,807,10011.28,20867,3.87,81.62,3,March,Thursday,11
2025-03-14,63384.94,718,10118.86,18231,3.94,88.28,3,March,Friday,11
2025-03-15,65047.63,731,9972.67,18572,3.94,88.98,3,March,Saturday,11
2025-03-16,54158.19,636,9115.41,16326,3.9,85.15,3,March,Sunday,11
2025-03-17,59498.72,707,9605.31,18054,3.92,84.16,3,March,Monday,12
2025-03-18,58686.39,689,9805.98,17365,3.97,85.18,3,March,Tuesday,12
2025-03-19,60335.57,668,9587.47,16752,3.99,90.32,3,March,Wednesday,12
2025-03-20,63536.11,745,10710.77,18593,4.01,85.28,3,March,Thursday,12
2025-03-21,60027.93,680,9354.93,16623,4.09,88.28,3,March,Friday,12
2025-03-22,62009.46,742,9867.32,18409,4.03,83.57,3,March,Saturday,12
2025-03-23,60626.28,720,9630.24,17153,4.2,84.2,3,March,Sunday,12
2025-03-24,61308.92,702,10628.2,17500,4.01,87.33,3,March,Monday,13
2025-03-25,57957.75,671,9734.9,16280,4.12,86.38,3,March,Tuesday,13
2025-03-26,59782.33,682,10298.51,16498,4.13,87.66,3,March,Wednesday,13
2025-03-27,62798.47,737,9281.1,18514,3.98,85.21,3,March,Thursday,13
2025-03-28,66266.9,798,10434.88,20646,3.87,83.04,3,March,Friday,13
2025-03-29,63522.92,727,10526.65,18634,3.9,87.38,3,March,Saturday,13
2025-03-30,106654.83,1264,13573.53,30814,4.1,84.38,3,March,Sunday,13
2025-03-31,107574.0,1254,14138.66,30855,4.06,85.78,3,March,Monday,14
2025-04-01,107200.08,1245,13317.36,31595,3.94,86.1,4,April,Tuesday,14
2025-04-02,114636.99,1346,14875.63,33158,4.06,85.17,4,April,Wednesday,14
2025-04-03,62731.93,717,11168.0,17812,4.03,87.49,4,April,Thursday,14
2025-04-04,64098.25,743,9946.44,18850,3.94,86.27,4,April,Friday,14
2025-04-05,62382.1,709,9767.82,17240,4.11,87.99,4,April,Saturday,14
2025-04-06,57669.49,717,10340.25,17977,3.99,80.43,4,April,Sunday,14
2025-04-07,59596.77,701,10557.53,16857,4.16,85.02,4,April,Monday,15
2025-04-08,60134.71,693,9549.35,17024,4.07,86.77,4,April,Tuesday,15
2025-04-09,61994.74,733,9749.49,18484,3.97,84.58,4,April,Wednesday,15
2025-04-10,63884.9,749,9969.9,17928,4.18,85.29,4,April,Thursday,15
2025-04-11,62124.34,726,9297.72,18370,3.95,85.57,4,April,Friday,15
2025-04-12,62510.03,747,9541.48,18665,4.0,83.68,4,April,Saturday,15
2025-04-13,60079.63,721,9304.3,18301,3.94,83.33,4,April,Sunday,15
2025-04-14,57552.08,666,9220.27,16761,3.97,86.41,4,April,Monday,16
2025-04-15,59425.73,687,9736.72,17857,3.85,86.5,4,April,Tuesday,16
2025-04-16,62911.97,734,10150.06,18412,3.99,85.71,4,April,Wednesday,16
2025-04-17,68229.5,756,11233.61,18685,4.05,90.25,4,April,Thursday,16
2025-04-18,65391.04,739,9732.11,18536,3.99,88.49,4,April,Friday,16
2025-04-19,63937.04,779,10607.12,19746,3.95,82.08,4,April,Saturday,16
2025-04-20,60670.66,746,9746.66,18674,3.99,81.33,4,April,Sunday,16
2025-04-21,55357.53,646,9403.87,16170,4.0,85.69,4,April,Monday,17
2025-04-22,59717.74,714,10114.83,17499,4.08,83.64,4,April,Tuesday,17
2025-04-23,62230.9,738,9417.11,18118,4.07,84.32,4,April,Wednesday,17
2025-04-24,69374.36,877,10741.15,21223,4.13,79.1,4,April,Thursday,17
2025-04-25,64632.19,782,10253.8,20424,3.83,82.65,4,April,Friday,17
2025-04-26,63984.43,750,10364.98,18128,4.14,85.31,4,April,Saturday,17
2025-04-27,60693.98,694,10000.1,17003,4.08,87.46,4,April,Sunday,17
2025-04-28,56786.14,635,10770.54,15515,4.09,89.43,4,April,Monday,18
2025-04-29,61969.5,733,9638.69,18772,3.9,84.54,4,April,Tuesday,18
2025-04-30,63512.17,732,9815.48,18152,4.03,86.77,4,April,Wednesday,18
2025-05-01,65912.71,746,9961.45,19273,3.87,88.35,5,May,Thursday,18
2025-05-02,63065.92,729,9767.54,17888,4.08,86.51,5,May,Friday,18
2025-05-03,66039.85,755,9964.49,19014,3.97,87.47,5,May,Saturday,18
2025-05-04,57797.91,713,10218.34,17407,4.1,81.06,5,May,Sunday,18
2025-05-05,60120.81,724,10519.92,19172,3.78,83.04,5,May,Monday,19
2025-05-06,63873.92,751,9824.54,18181,4.13,85.05,5,May,Tuesday,19
2025-05-07,59822.07,733,9369.59,18479,3.97,81.61,5,May,Wednesday,19
2025-05-08,62978.72,742,10274.01,18866,3.93,84.88,5,May,Thursday,19
2025-05-09,64850.65,745,9911.94,18831,3.96,87.05,5,May,Friday,19
2025-05-10,61980.1,759,10274.87,18882,4.02,81.66,5,May,Saturday,19
2025-05-11,57239.36,684,9680.61,17035,4.02,83.68,5,May,Sunday,19
2025-05-12,58809.77,671,8946.91,16796,3.99,87.64,5,May,Monday,20
2025-05-13,57080.57,667,10340.2,16601,4.02,85.58,5,May,Tuesday,20
2025-05-14,62449.29,717,10893.88,18406,3.9,87.1,5,May,Wednesday,20
2025-05-15,61958.4,701,9650.28,18630,3.76,88.39,5,May,Thursday,20
2025-05-16,67424.3,811,10200.09,19996,4.06,83.14,5,May,Friday,20
2025-05-17,61080.96,756,10029.41,18215,4.15,80.79,5,May,Saturday,20
2025-05-18,59344.5,670,9914.79,16705,4.01,88.57,5,May,Sunday,20
2025-05-19,59935.31,716,10124.1,19189,3.73,83.71,5,May,Monday,21
2025-05-20,56366.99,650,10514.46,15848,4.1,86.72,5,May,Tuesday,21
2025-05-21,61568.66,714,9837.02,18669,3.82,86.23,5,May,Wednesday,21
2025-05-22,66011.47,764,9881.77,19938,3.83,86.4,5,May,Thursday,21
2025-05-23,60697.9,696,9166.17,17123,4.06,87.21,5,May,Friday,21
2025-05-24,62593.88,737,9642.05,18709,3.94,84.93,5,May,Saturday,21
2025-05-25,60074.46,690,9789.39,18064,3.82,87.06,5,May,Sunday,21
2025-05-26,59427.13,704,10651.45,17410,4.04,84.41,5,May,Monday,22
2025-05-27,55899.37,656,9213.14,16298,4.03,85.21,5,May,Tuesday,22
2025-05-28,58006.96,677,9752.45,16634,4.07,85.68,5,May,Wednesday,22
2025-05-29,63964.99,734,10108.99,17842,4.11,87.15,5,May,Thursday,22
2025-05-30,64020.79,741,10715.86,18200,4.07,86.4,5,May,Friday,22
2025-05-31,62229.8,747,11241.85,18063,4.14,83.31,5,May,Saturday,22
2025-06-01,59742.27,712,9513.95,17817,4.0,83.91,6,June,Sunday,22
2025-06-02,55988.84,639,9234.39,15590,4.1,87.62,6,June,Monday,23
2025-06-03,58314.14,688,10187.21,17316,3.97,84.76,6,June,Tuesday,23
2025-06-04,60701.57,729,10197.07,17447,4.18,83.27,6,June,Wednesday,23
2025-06-05,60951.41,683,10799.47,17240,3.96,89.24,6,June,Thursday,23
2025-06-06,66609.05,794,10620.69,20266,3.92,83.89,6,June,Friday,23
2025-06-07,62119.1,717,9789.88,16928,4.24,86.64,6,June,Saturday,23
2025-06-08,56101.58,671,9783.45,16962,3.96,83.61,6,June,Sunday,23
2025-06-09,58089.24,668,10201.49,17313,3.86,86.96,6,June,Monday,24
2025-06-10,55320.21,614,9835.86,14745,4.16,90.1,6,June,Tuesday,24
2025-06-11,61102.49,686,10141.84,17986,3.81,89.07,6,June,Wednesday,24
2025-06-12,64103.41,755,10661.61,19084,3.96,84.91,6,June,Thursday,24
2025-06-13,60635.72,718,10435.51,17597,4.08,84.45,6,June,Friday,24
2025-06-14,62491.5,717,10690.4,17897,4.01,87.16,6,June,Saturday,24
2025-06-15,58697.06,703,10020.12,17854,3.94,83.5,6,June,Sunday,24
2025-06-16,57801.84,646,9540.59,16188,3.99,89.48,6,June,Monday,25
2025-06-17,60439.28,709,9908.5,17994,3.94,85.25,6,June,Tuesday,25
2025-06-18,58408.48,662,10275.93,16089,4.11,88.23,6,June,Wednesday,25
2025-06-19,59644.75,688,9363.11,17284,3.98,86.69,6,June,Thursday,25
2025-06-20,59859.42,705,9973.09,16918,4.17,84.91,6,June,Friday,25
2025-06-21,58290.12,668,9466.54,16644,4.01,87.26,6,June,Saturday,25
2025-06-22,57070.19,663,9579.99,16123,4.11,86.08,6,June,Sunday,25
2025-06-23,56189.1,681,10134.35,16657,4.09,82.51,6,June,Monday,26
2025-06-24,56544.61,653,9619.12,16943,3.85,86.59,6,June,Tuesday,26
2025-06-25,59895.89,721,9814.89,18570,3.88,83.07,6,June,Wednesday,26
2025-06-26,60517.52,689,9161.47,17529,3.93,87.83,6,June,Thursday,26
2025-06-27,63882.1,762,10483.69,18503,4.12,83.83,6,June,Friday,26
2025-06-28,58726.59,719,10020.87,17816,4.04,81.68,6,June,Saturday,26
2025-06-29,61996.77,679,11041.37,17581,3.86,91.31,6,June,Sunday,26
2025-06-30,56088.31,643,9333.18,16145,3.98,87.23,6,June,Monday,27
2025-07-01,53605.53,642,9398.02,17209,3.73,83.5,7,July,Tuesday,27
2025-07-02,55427.07,648,9558.86,16396,3.95,85.54,7,July,Wednesday,27
2025-07-03,60782.79,722,10651.35,18146,3.98,84.19,7,July,Thursday,27
2025-07-04,59853.73,692,9740.65,17145,4.04,86.49,7,July,Friday,27
2025-07-05,60009.1,707,9940.24,17741,3.99,84.88,7,July,Saturday,27
2025-07-06,56827.95,665,9850.18,16548,4.02,85.46,7,July,Sunday,27
2025-07-07,54016.51,658,9414.63,16804,3.92,82.09,7,July,Monday,28
2025-07-08,52951.88,628,9012.93,16178,3.88,84.32,7,July,Tuesday,28
2025-07-09,53865.5,640,9406.28,15607,4.1,84.16,7,July,Wednesday,28
2025-07-10,58252.15,677,10196.99,16259,4.16,86.04,7,July,Thursday,28
2025-07-11,61342.07,711,9394.11,16856,4.22,86.28,7,July,Friday,28
2025-07-12,58339.47,677,9733.64,17178,3.94,86.17,7,July,Saturday,28
2025-07-13,52722.04,628,8867.7,15148,4.15,83.95,7,July,Sunday,28
2025-07-14,53842.7,625,9904.94,14548,4.3,86.15,7,July,Monday,29
2025-07-15,54752.69,649,8618.62,16419,3.95,84.36,7,July,Tuesday,29
2025-07-16,54466.76,682,9077.88,18296,3.73,79.86,7,July,Wednesday,29
2025-07-17,58794.9,709,9892.2,17721,4.0,82.93,7,July,Thursday,29
2025-07-18,59091.22,688,10510.06,17619,3.9,85.89,7,July,Friday,29
2025-07-19,54974.41,670,9365.08,16790,3.99,82.05,7,July,Saturday,29
2025-07-20,55281.98,642,9144.96,16000,4.01,86.11,7,July,Sunday,29
2025-07-21,53974.9,594,10258.57,15309,3.88,90.87,7,July,Monday,30
2025-07-22,55509.52,632,8716.75,15654,4.04,87.83,7,July,Tuesday,30
2025-07-23,57708.09,641,8517.24,16158,3.97,90.03,7,July,Wednesday,30
2025-07-24,55103.04,641,9628.25,16185,3.96,85.96,7,July,Thursday,30
2025-07-25,56475.27,664,9266.99,16265,4.08,85.05,7,July,Friday,30
2025-07-26,57672.01,712,9103.14,18296,3.89,81.0,7,July,Saturday,30
2025-07-27,54981.29,653,9752.68,16237,4.02,84.2,7,July,Sunday,30
2025-07-28,53276.74,622,9384.04,15172,4.1,85.65,7,July,Monday,31
2025-07-29,60448.46,727,9553.84,18443,3.94,83.15,7,July,Tuesday,31
2025-07-30,56148.37,616,8851.72,14950,4.12,91.15,7,July,Wednesday,31
2025-07-31,59542.4,705,10199.62,17639,4.0,84.46,7,July,Thursday,31
2025-08-01,59678.87,717,10099.41,17920,4.0,83.23,8,August,Friday,31
2025-08-02,28685.99,307,7245.29,8217,3.74,93.44,8,August,Saturday,31
2025-08-03,26379.0,333,8033.64,8562,3.89,79.22,8,August,Sunday,31
2025-08-04,26603.6,319,6593.25,7962,4.01,83.4,8,August,Monday,32
2025-08-05,25324.02,289,6263.16,7633,3.79,87.63,8,August,Tuesday,32
2025-08-06,26995.98,330,6813.72,8945,3.69,81.81,8,August,Wednesday,32
2025-08-07,27884.05,373,7207.93,9603,3.88,74.76,8,August,Thursday,32
2025-08-08,28705.49,341,7418.11,8530,4.0,84.18,8,August,Friday,32
2025-08-09,60183.91,713,9694.09,17169,4.15,84.41,8,August,Saturday,32
2025-08-10,49148.68,569,9107.92,13692,4.16,86.38,8,August,Sunday,32
2025-08-11,52565.99,601,8579.51,14872,4.04,87.46,8,August,Monday,33
2025-08-12,48482.2,586,9600.46,14345,4.09,82.73,8,August,Tuesday,33
2025-08-13,53045.65,606,9202.58,15056,4.02,87.53,8,August,Wednesday,33
2025-08-14,58450.86,689,10234.72,17253,3.99,84.83,8,August,Thursday,33
2025-08-15,56920.34,660,9724.99,16764,3.94,86.24,8,August,Friday,33
2025-08-16,52954.31,632,9464.72,15764,4.01,83.79,8,August,Saturday,33
2025-08-17,51018.68,606,9366.38,15393,3.94,84.19,8,August,Sunday,33
2025-08-18,52129.81,634,9394.24,15882,3.99,82.22,8,August,Monday,34
2025-08-19,49835.33,576,9308.19,13412,4.29,86.52,8,August,Tuesday,34
2025-08-20,54022.37,630,9986.37,15280,4.12,85.75,8,August,Wednesday,34
2025-08-21,55975.74,638,9576.32,15877,4.02,87.74,8,August,Thursday,34
2025-08-22,55112.12,639,9763.47,15370,4.16,86.25,8,August,Friday,34
2025-08-23,59033.32,702,9677.8,17849,3.93,84.09,8,August,Saturday,34
2025-08-24,53365.05,642,9989.26,16815,3.82,83.12,8,August,Sunday,34
2025-08-25,46380.74,527,8372.26,13784,3.82,88.01,8,August,Monday,35
2025-08-26,51342.06,621,10007.83,15418,4.03,82.68,8,August,Tuesday,35
2025-08-27,51951.81,638,9136.07,16695,3.82,81.43,8,August,Wednesday,35
2025-08-28,57288.43,682,8867.69,17124,3.98,84.0,8,August,Thursday,35
2025-08-29,54542.45,679,9427.45,16806,4.04,80.33,8,August,Friday,35
2025-08-30,54241.5,622,8998.79,15243,4.08,87.2,8,August,Saturday,35
2025-08-31,52846.27,596,9648.02,14748,4.04,88.67,8,August,Sunday,35
2025-09-01,51915.33,575,8826.91,14180,4.06,90.29,9,September,Monday,36
2025-09-02,48335.21,598,8643.72,15035,3.98,80.83,9,September,Tuesday,36
2025-09-03,52387.05,629,8246.19,15805,3.98,83.29,9,September,Wednesday,36
2025-09-04,54428.51,639,9128.13,15976,4.0,85.18,9,September,Thursday,36
2025-09-05,54629.98,648,8158.46,16418,3.95,84.31,9,September,Friday,36
2025-09-06,57825.49,657,8834.09,17020,3.86,88.01,9,September,Saturday,36
2025-09-07,52484.46,666,9578.96,17124,3.89,78.81,9,September,Sunday,36
2025-09-08,47514.98,561,9194.1,13282,4.22,84.7,9,September,Monday,37
2025-09-09,52439.31,619,9407.87,14198,4.36,84.72,9,September,Tuesday,37
2025-09-10,57183.14,687,9091.16,17642,3.89,83.24,9,September,Wednesday,37
2025-09-11,57341.2,684,9563.44,16416,4.17,83.83,9,September,Thursday,37
2025-09-12,52810.99,625,9223.08,15512,4.03,84.5,9,September,Friday,37
2025-09-13,53254.53,610,8681.18,14664,4.16,87.3,9,September,Saturday,37
2025-09-14,54152.17,646,10083.87,15249,4.24,83.83,9,September,Sunday,37
2025-09-15,48580.79,609,9325.14,15495,3.93,79.77,9,September,Monday,38
2025-09-16,51466.25,632,9006.82,16179,3.91,81.43,9,September,Tuesday,38
2025-09-17,54478.84,672,9371.75,16511,4.07,81.07,9,September,Wednesday,38
2025-09-18,53428.97,618,9378.51,14154,4.37,86.45,9,September,Thursday,38
2025-09-19,55753.14,636,8439.38,15626,4.07,87.66,9,September,Friday,38
2025-09-20,47778.91,559,8698.72,14170,3.94,85.47,9,September,Saturday,38
2025-09-21,49624.07,584,8628.93,13860,4.21,84.97,9,September,Sunday,38
2025-09-22,49561.62,604,8464.12,15191,3.98,82.06,9,September,Monday,39
2025-09-23,48169.85,532,8713.04,13292,4.0,90.54,9,September,Tuesday,39
2025-09-24,56297.45,692,10402.64,17589,3.93,81.35,9,September,Wednesday,39
2025-09-25,52541.9,614,9523.77,15409,3.98,85.57,9,September,Thursday,39
2025-09-26,55127.81,640,9124.64,15513,4.13,86.14,9,September,Friday,39
2025-09-27,54675.03,622,9660.29,16148,3.85,87.9,9,September,Saturday,39
2025-09-28,54723.93,610,10077.59,15170,4.02,89.71,9,September,Sunday,39
2025-09-29,47380.04,573,9252.72,14311,4.0,82.69,9,September,Monday,40
2025-09-30,53193.25,627,9285.28,15208,4.12,84.84,9,September,Tuesday,40
2025-10-01,53271.13,600,8938.22,14778,4.06,88.79,10,October,Wednesday,40
2025-10-02,53673.76,605,9643.01,14682,4.12,88.72,10,October,Thursday,40
2025-10-03,57183.26,666,9771.4,16563,4.02,85.86,10,October,Friday,40
2025-10-04,55079.4,681,9853.95,17880,3.81,80.88,10,October,Saturday,40
2025-10-05,50925.27,593,9391.61,14139,4.19,85.88,10,October,Sunday,40
2025-10-06,50692.26,566,9580.16,13343,4.24,89.56,10,October,Monday,41
2025-10-07,50413.78,588,8765.48,15435,3.81,85.74,10,October,Tuesday,41
2025-10-08,53811.75,627,9963.64,15570,4.03,85.82,10,October,Wednesday,41
2025-10-09,57311.65,620,9683.73,15165,4.09,92.44,10,October,Thursday,41
2025-10-10,59798.24,702,10821.49,18069,3.89,85.18,10,October,Friday,41
2025-10-11,52589.31,614,8862.55,15047,4.08,85.65,10,October,Saturday,41
2025-10-12,56791.92,682,10411.34,17963,3.8,83.27,10,October,Sunday,41
2025-10-13,47065.09,590,8864.16,15088,3.91,79.77,10,October,Monday,42
2025-10-14,51313.86,626,8779.4,15406,4.06,81.97,10,October,Tuesday,42
2025-10-15,55210.75,644,9174.92,17178,3.75,85.73,10,October,Wednesday,42
2025-10-16,57015.1,648,9401.03,15897,4.08,87.99,10,October,Thursday,42
2025-10-17,55862.81,708,9681.11,18071,3.92,78.9,10,October,Friday,42
2025-10-18,55146.92,649,9673.17,16374,3.96,84.97,10,October,Saturday,42
2025-10-19,52054.23,612,8877.49,15950,3.84,85.06,10,October,Sunday,42
2025-10-20,50321.0,591,9013.5,15555,3.8,85.15,10,October,Monday,43
2025-10-21,53863.11,637,10380.18,15941,4.0,84.56,10,October,Tuesday,43
2025-10-22,55310.57,647,10288.62,15798,4.1,85.49,10,October,Wednesday,43
2025-10-23,55645.57,643,9669.81,16304,3.94,86.54,10,October,Thursday,43
2025-10-24,59501.45,689,9779.12,16886,4.08,86.36,10,October,Friday,43
2025-10-25,56787.49,667,9603.01,17681,3.77,85.14,10,October,Saturday,43
2025-10-26,55291.27,639,9730.06,16043,3.98,86.53,10,October,Sunday,43
2025-10-27,53399.79,613,8760.59,15142,4.05,87.11,10,October,Monday,44
2025-10-28,51162.11,604,8964.28,15192,3.98,84.71,10,October,Tuesday,44
2025-10-29,54147.63,631,8497.52,15101,4.18,85.81,10,October,Wednesday,44
2025-10-30,59212.6,726,9936.62,17664,4.11,81.56,10,October,Thursday,44
2025-10-31,59624.65,648,10093.57,16800,3.86,92.01,10,October,Friday,44
2025-11-01,56847.67,690,9306.22,16921,4.08,82.39,11,November,Saturday,44
2025-11-02,54631.57,667,10157.52,16151,4.13,81.91,11,November,Sunday,44
2025-11-03,55441.9,610,8822.47,15518,3.93,90.89,11,November,Monday,45
2025-11-04,52397.51,609,8459.61,15817,3.85,86.04,11,November,Tuesday,45
2025-11-05,57137.14,664,9683.2,16959,3.92,86.05,11,November,Wednesday,45
2025-11-06,58102.81,655,10171.77,16873,3.88,88.71,11,November,Thursday,45
2025-11-07,58771.83,675,10543.71,16496,4.09,87.07,11,November,Friday,45
2025-11-08,59904.25,682,9562.9,16339,4.17,87.84,11,November,Saturday,45
2025-11-09,56878.76,704,10089.64,18350,3.84,80.79,11,November,Sunday,45
2025-11-10,55358.22,669,9409.4,16563,4.04,82.75,11,November,Monday,46
2025-11-11,57049.7,696,9477.66,17274,4.03,81.97,11,November,Tuesday,46
2025-11-12,56956.33,684,9998.34,17764,3.85,83.27,11,November,Wednesday,46
2025-11-13,60755.6,692,10186.61,17578,3.94,87.8,11,November,Thursday,46
2025-11-14,59484.1,689,8970.53,17452,3.95,86.33,11,November,Friday,46
2025-11-15,59265.23,707,10479.49,18757,3.77,83.83,11,November,Saturday,46
2025-11-16,55890.41,633,10161.28,15503,4.08,88.29,11,November,Sunday,46
2025-11-17,54860.35,659,9076.05,16938,3.89,83.25,11,November,Monday,47
2025-11-18,56576.42,660,9724.02,16528,3.99,85.72,11,November,Tuesday,47
2025-11-19,56237.24,654,9745.99,16484,3.97,85.99,11,November,Wednesday,47
2025-11-20,64547.63,773,10294.15,20089,3.85,83.5,11,November,Thursday,47
2025-11-21,59075.36,703,9450.88,17828,3.94,84.03,11,November,Friday,47
2025-11-22,57182.67,665,9238.8,16894,3.94,85.99,11,November,Saturday,47
2025-11-23,59472.26,722,9745.0,18586,3.88,82.37,11,November,Sunday,47
2025-11-24,57266.0,652,10167.64,16117,4.05,87.83,11,November,Monday,48
2025-11-25,144153.54,1708,16804.08,42280,4.04,84.4,11,November,Tuesday,48
2025-11-26,150419.95,1781,16848.29,44002,4.05,84.46,11,November,Wednesday,48
2025-11-27,153465.72,1799,17663.11,43991,4.09,85.31,11,November,Thursday,48
2025-11-28,150877.26,1781,15645.91,45553,3.91,84.71,11,November,Friday,48
2025-11-29,60830.54,690,10440.83,16698,4.13,88.16,11,November,Saturday,48
2025-11-30,56879.23,687,8680.48,17064,4.03,82.79,11,November,Sunday,48
2025-12-01,58719.82,687,9516.37,17036,4.03,85.47,12,December,Monday,49
2025-12-02,57215.13,662,9017.38,16703,3.96,86.43,12,December,Tuesday,49
2025-12-03,58365.29,707,9021.88,18082,3.91,82.55,12,December,Wednesday,49
2025-12-04,61881.68,713,10530.95,18255,3.91,86.79,12,December,Thursday,49
