age_group,gender,activity,bmi,resting_hr,daily_steps,sleep_hours,vo2_max
18–29,Female,Sedentary,16.2,60,2770,5.8,28.0
18–29,Female,Sedentary,23.3,76,3352,7.3,25.8
30–44,Male,Lightly Active,21.5,88,5662,8.3,41.2
60+,Male,Very Active,17.9,46,19938,7.3,65.6
30–44,Female,Lightly Active,29.1,61,6096,7.1,42.3
60+,Female,Lightly Active,26.0,79,8853,6.0,35.8
45–59,Female,Moderately Active,22.5,69,10557,8.8,43.7
30–44,Female,Lightly Active,29.2,74,7292,6.1,34.0
45–59,Male,Sedentary,20.4,65,3794,8.0,43.4
18–29,Female,Lightly Active,21.1,66,8335,7.5,33.8
18–29,Female,Lightly Active,31.0,71,7440,7.0,36.4
45–59,Female,Moderately Active,31.8,67,16267,5.0,39.9
45–59,Female,Sedentary,32.6,59,3002,7.5,32.0
18–29,Female,Lightly Active,28.4,80,4236,4.9,39.2
30–44,Female,Sedentary,26.0,57,2972,5.6,32.9
45–59,Female,Lightly Active,24.3,69,7692,7.0,42.0
60+,Female,Moderately Active,25.2,61,11500,8.2,39.0
45–59,Female,Sedentary,36.1,86,2185,8.2,23.0
30–44,Male,Lightly Active,28.2,61,5993,4.7,45.7
30–44,Male,Sedentary,34.0,76,2352,4.2,46.5
30–44,Female,Moderately Active,21.6,72,9039,6.7,38.9
45–59,Female,Lightly Active,29.0,73,6359,7.5,40.3
60+,Female,Moderately Active,22.4,73,11526,8.7,41.2
30–44,Female,Lightly Active,27.1,71,5406,6.1,34.8
18–29,Male,Very Active,24.3,52,13779,5.2,53.8
18–29,Male,Sedentary,26.2,76,3568,7.3,42.0
45–59,Female,Moderately Active,21.2,62,8615,7.3,48.4
45–59,Female,Lightly Active,28.0,57,5147,6.5,42.8
18–29,Male,Lightly Active,26.0,67,9797,7.8,48.4
18–29,Male,Moderately Active,24.9,61,9341,6.6,50.6
30–44,Male,Very Active,24.4,55,9611,6.6,54.4
18–29,Male,Moderately Active,28.7,65,7772,5.7,53.7
45–59,Female,Lightly Active,29.2,74,3510,6.5,43.3
30–44,Male,Lightly Active,28.6,62,8974,6.2,43.3
18–29,Male,Sedentary,26.4,88,2942,6.6,38.2
60+,Female,Moderately Active,23.4,64,8209,6.6,44.7
18–29,Female,Lightly Active,28.3,77,7341,7.3,33.9
30–44,Female,Sedentary,27.1,83,4369,6.5,33.9
18–29,Male,Sedentary,31.3,59,2863,8.9,32.0
18–29,Male,Very Active,20.8,52,21715,6.5,61.1
18–29,Male,Sedentary,39.0,62,2731,5.2,40.5
18–29,Female,Lightly Active,27.3,75,4735,7.4,38.5
18–29,Male,Sedentary,29.7,90,4447,6.1,42.1
18–29,Female,Lightly Active,24.6,82,5418,6.6,36.1
30–44,Female,Sedentary,38.9,68,2547,7.9,36.8
45–59,Female,Moderately Active,20.5,65,12785,5.0,47.7
30–44,Male,Sedentary,25.3,81,3028,8.3,43.0
30–44,Male,Sedentary,33.4,84,2911,8.4,43.0
30–44,Female,Sedentary,30.2,79,2796,5.5,45.8
60+,Male,Lightly Active,24.2,65,5500,4.5,51.4
60+,Female,Moderately Active,22.7,62,10897,7.5,40.5
18–29,Male,Sedentary,27.5,67,3389,6.7,40.7
18–29,Female,Moderately Active,24.8,62,10008,6.6,36.2
18–29,Female,Lightly Active,32.7,65,7349,4.4,40.9
18–29,Male,Sedentary,32.1,85,3329,6.0,37.8
30–44,Female,Sedentary,34.3,76,3309,7.5,40.1
30–44,Female,Lightly Active,24.8,72,6073,8.6,40.8
18–29,Female,Lightly Active,28.6,82,5942,6.2,36.1
30–44,Male,Lightly Active,20.3,73,7055,8.5,45.4
30–44,Male,Moderately Active,25.1,60,7860,4.6,54.4
18–29,Female,Sedentary,29.6,72,5319,7.4,36.2
45–59,Male,Lightly Active,33.8,71,2727,7.3,42.2
18–29,Female,Lightly Active,32.7,65,5658,7.5,43.6
60+,Male,Lightly Active,25.5,71,7271,8.3,36.1
18–29,Female,Lightly Active,23.2,73,7594,6.8,32.5
45–59,Male,Moderately Active,22.0,66,8641,8.7,49.8
60+,Female,Moderately Active,23.6,58,9069,7.4,41.4
60+,Male,Moderately Active,28.7,62,10609,4.7,51.1
45–59,Male,Sedentary,31.2,65,1913,5.5,35.4
45–59,Male,Lightly Active,28.6,73,4696,4.5,42.1
45–59,Female,Moderately Active,27.1,59,12428,4.8,38.7
45–59,Male,Lightly Active,22.5,80,7725,5.2,40.4
18–29,Female,Moderately Active,22.2,67,10525,6.9,42.6
30–44,Male,Moderately Active,26.2,64,12193,6.2,45.8
30–44,Female,Lightly Active,23.4,69,6639,6.0,36.1
60+,Female,Sedentary,21.1,58,2380,7.3,31.2
30–44,Male,Moderately Active,21.0,71,7951,7.4,49.9
30–44,Male,Lightly Active,30.7,74,7436,5.0,38.2
45–59,Male,Sedentary,27.1,91,2460,6.5,41.6
18–29,Female,Sedentary,30.2,57,3647,7.0,30.4
18–29,Female,Sedentary,23.6,74,2755,6.0,34.2
30–44,Male,Moderately Active,25.7,61,13358,8.2,49.3
30–44,Female,Sedentary,27.6,64,2234,8.7,34.3
18–29,Female,Very Active,23.9,52,12013,5.7,50.8
30–44,Female,Very Active,21.7,46,16721,8.2,57.0
30–44,Female,Very Active,24.0,55,14781,7.0,44.1
30–44,Female,Sedentary,26.3,79,3118,8.4,39.9
30–44,Female,Lightly Active,26.2,67,6390,4.9,42.9
45–59,Female,Very Active,22.1,51,14196,6.5,48.6
30–44,Male,Moderately Active,24.6,64,9909,5.6,53.1
60+,Female,Lightly Active,27.6,68,3215,7.8,46.8
60+,Female,Very Active,21.6,52,21214,6.9,44.4
30–44,Female,Moderately Active,24.1,70,9088,6.7,43.9
30–44,Male,Moderately Active,25.1,60,11458,7.2,45.5
30–44,Female,Very Active,24.0,54,8719,7.3,51.5
45–59,Male,Very Active,22.6,55,12894,5.6,60.9
45–59,Female,Lightly Active,23.0,62,6874,6.5,34.0
45–59,Male,Sedentary,29.4,82,4445,9.4,37.8
30–44,Female,Moderately Active,26.6,65,11471,7.2,42.9
45–59,Male,Moderately Active,20.2,61,11707,6.7,53.7
30–44,Male,Moderately Active,20.3,65,9402,6.8,54.4
45–59,Male,Lightly Active,23.9,74,6467,6.9,47.1
18–29,Male,Moderately Active,23.9,68,10043,5.9,51.3
45–59,Male,Lightly Active,17.7,76,6946,7.7,45.2
60+,Female,Very Active,24.2,60,20306,6.6,53.8
18–29,Female,Very Active,22.4,55,14736,6.0,52.3
45–59,Female,Lightly Active,17.1,64,6523,7.7,41.2
18–29,Female,Moderately Active,20.9,64,9610,6.5,44.0
45–59,Male,Moderately Active,23.5,59,9905,8.9,45.1
18–29,Female,Lightly Active,19.4,77,8184,7.5,33.5
60+,Female,Sedentary,34.0,82,3349,7.1,35.1
18–29,Male,Moderately Active,25.1,71,11177,8.4,48.2
60+,Female,Moderately Active,26.7,70,10200,8.1,45.0
45–59,Female,Lightly Active,22.4,74,5190,7.7,36.3
30–44,Female,Very Active,23.8,57,18402,5.6,47.0
45–59,Female,Very Active,21.2,59,18903,5.3,52.9
45–59,Male,Moderately Active,23.9,58,12418,8.7,44.8
60+,Female,Very Active,23.6,56,15915,8.5,52.4
18–29,Male,Lightly Active,26.2,75,5320,5.9,43.6
30–44,Female,Very Active,24.7,49,18212,7.6,47.1
18–29,Male,Very Active,23.1,63,19751,5.9,55.5
45–59,Male,Moderately Active,23.0,70,12328,8.3,50.6
18–29,Male,Sedentary,33.4,64,2369,7.9,47.1
30–44,Male,Sedentary,34.5,73,3295,7.0,42.0
30–44,Male,Lightly Active,26.9,71,3569,6.8,49.5
30–44,Male,Moderately Active,28.8,68,13430,5.0,52.9
30–44,Female,Lightly Active,25.6,75,6745,7.6,38.9
45–59,Female,Moderately Active,24.1,74,10923,6.5,41.4
45–59,Male,Moderately Active,24.5,63,13892,5.3,48.4
30–44,Female,Sedentary,28.3,82,2525,4.8,32.3
30–44,Female,Sedentary,27.4,70,3092,9.6,37.2
60+,Male,Moderately Active,22.2,64,8602,8.7,59.3
18–29,Female,Lightly Active,22.5,74,4254,6.5,36.7
18–29,Male,Very Active,23.1,58,16975,5.6,57.9
18–29,Male,Very Active,25.7,52,16815,7.3,57.4
45–59,Male,Lightly Active,29.8,74,3314,6.0,43.4
30–44,Male,Moderately Active,25.7,65,12104,7.9,42.2
45–59,Female,Very Active,25.8,59,15852,7.4,55.7
45–59,Female,Very Active,22.8,55,18632,8.4,52.2
30–44,Male,Moderately Active,21.3,51,11017,5.1,52.4
60+,Female,Very Active,22.0,51,19660,6.7,48.0
45–59,Male,Lightly Active,26.3,63,8240,7.4,47.7
18–29,Male,Sedentary,26.3,69,3159,7.8,35.5
30–44,Female,Moderately Active,26.5,54,12530,7.9,44.3
30–44,Female,Moderately Active,27.5,60,12441,7.1,39.0
18–29,Female,Very Active,18.6,49,11863,6.4,46.1
18–29,Male,Sedentary,28.2,75,2293,8.6,39.8
60+,Male,Lightly Active,15.0,70,4984,5.1,43.8
30–44,Male,Moderately Active,24.2,58,11960,8.1,56.5
30–44,Female,Very Active,22.6,57,13524,7.1,43.2
45–59,Male,Moderately Active,30.2,57,6028,5.4,52.2
30–44,Female,Sedentary,36.7,93,2192,8.6,37.3
60+,Male,Very Active,25.0,65,14660,4.5,54.3
45–59,Male,Moderately Active,21.4,68,11511,4.4,48.9
30–44,Male,Very Active,20.4,61,20524,7.4,59.9
30–44,Female,Very Active,20.2,59,19333,6.5,46.3
60+,Female,Sedentary,36.9,79,3142,6.0,33.1
45–59,Female,Very Active,20.6,57,13105,7.6,49.5
60+,Female,Lightly Active,25.0,79,3493,6.9,39.5
18–29,Female,Very Active,20.6,55,14295,8.0,50.7
60+,Male,Sedentary,22.5,80,2770,9.0,39.6
45–59,Female,Moderately Active,25.6,63,10720,8.0,42.9
18–29,Female,Lightly Active,27.1,63,7842,8.2,36.3
30–44,Female,Sedentary,17.4,79,3537,8.5,36.2
45–59,Male,Very Active,19.7,50,16327,7.7,57.8
18–29,Male,Lightly Active,27.5,68,5902,7.1,45.5
30–44,Female,Sedentary,28.6,87,1781,7.9,39.2
45–59,Male,Very Active,21.8,54,13198,6.0,60.3
30–44,Male,Lightly Active,28.9,78,5052,5.9,42.9
30–44,Male,Moderately Active,19.9,72,16203,7.1,58.8
30–44,Female,Very Active,21.4,54,22981,6.4,48.5
30–44,Male,Lightly Active,28.6,78,4611,9.0,55.4
60+,Female,Sedentary,25.6,73,3314,5.2,19.3
45–59,Female,Moderately Active,25.5,60,7527,7.2,41.0
18–29,Female,Moderately Active,20.8,61,10992,8.5,42.6
60+,Male,Sedentary,24.7,96,2607,5.2,39.3
60+,Female,Lightly Active,19.4,69,6287,8.2,36.9
30–44,Male,Lightly Active,18.3,70,8077,8.0,47.1
45–59,Male,Sedentary,26.5,55,3297,7.9,37.9
18–29,Male,Lightly Active,28.3,73,7804,4.7,45.4
60+,Male,Very Active,22.5,58,17759,6.0,58.3
45–59,Female,Lightly Active,31.1,81,5401,4.9,50.9
45–59,Male,Sedentary,27.0,64,1951,6.0,46.4
18–29,Female,Very Active,17.7,54,14951,4.7,52.5
60+,Male,Lightly Active,27.9,71,6047,4.6,51.0
18–29,Female,Very Active,20.2,57,14170,6.4,41.3
18–29,Female,Very Active,23.1,55,13534,5.3,44.1
18–29,Male,Lightly Active,17.4,71,6599,7.7,44.2
45–59,Female,Lightly Active,25.4,66,8481,7.8,33.8
18–29,Male,Sedentary,32.7,84,1320,6.3,42.3
60+,Female,Sedentary,32.0,92,2005,5.4,36.6
45–59,Female,Sedentary,27.7,72,3209,8.7,32.2
18–29,Female,Lightly Active,26.3,78,3713,7.4,34.9
18–29,Male,Lightly Active,24.5,68,4334,6.3,50.6
18–29,Female,Moderately Active,23.5,63,15154,8.2,35.6
45–59,Female,Lightly Active,29.0,71,7343,7.9,36.9
45–59,Female,Lightly Active,23.5,77,10504,6.6,34.0
18–29,Male,Sedentary,25.6,65,1633,5.8,39.8
45–59,Male,Lightly Active,20.2,63,9627,7.9,43.6
18–29,Female,Moderately Active,26.6,59,7614,5.0,42.2
45–59,Female,Moderately Active,23.5,65,12469,6.2,44.1
60+,Female,Lightly Active,21.4,68,3234,8.3,45.8
45–59,Female,Moderately Active,27.1,64,11139,9.5,47.4
45–59,Female,Lightly Active,26.1,76,7041,8.2,36.8
45–59,Male,Very Active,20.9,52,14430,6.0,54.9
18–29,Female,Lightly Active,29.9,68,4411,8.5,39.7
18–29,Male,Moderately Active,23.2,66,9882,7.7,43.9
18–29,Female,Sedentary,20.6,67,3191,4.7,24.5
30–44,Male,Lightly Active,30.1,73,4773,5.2,45.6
45–59,Female,Lightly Active,22.9,73,6189,7.4,37.6
45–59,Female,Sedentary,44.4,87,2949,6.8,38.7
60+,Female,Moderately Active,22.9,64,11494,7.8,42.4
18–29,Male,Moderately Active,17.9,71,6996,5.5,53.2
45–59,Female,Sedentary,37.8,62,2524,9.4,34.9
18–29,Male,Very Active,22.5,55,16616,6.2,56.9
18–29,Male,Sedentary,30.0,92,2681,7.5,35.5
45–59,Female,Very Active,23.6,50,12155,4.4,49.8
60+,Female,Lightly Active,20.8,64,7903,7.3,33.3
45–59,Male,Sedentary,17.5,53,3775,5.9,37.2
18–29,Female,Sedentary,38.9,89,3602,5.9,27.8
45–59,Male,Moderately Active,19.3,68,9694,7.8,54.9
18–29,Female,Moderately Active,29.6,69,10047,7.3,42.5
60+,Female,Moderately Active,26.0,71,13246,4.2,39.0
45–59,Female,Lightly Active,27.0,68,7702,8.7,33.1
18–29,Female,Sedentary,26.3,84,4011,7.4,37.0
18–29,Female,Moderately Active,31.7,62,10684,7.4,46.0
18–29,Female,Very Active,21.0,51,18132,9.0,44.8
60+,Male,Lightly Active,23.6,69,7496,5.0,47.3
30–44,Male,Very Active,24.3,57,21049,8.4,54.5
45–59,Female,Moderately Active,22.2,70,5485,6.0,46.1
